,tgt_pos-left-hip-yaw,tgt_pos-left-hip-roll,tgt_pos-left-hip-pitch,tgt_pos-left-knee,tgt_pos-left-ankle-pitch,tgt_pos-left-ankle-roll,tgt_pos-right-hip-yaw,tgt_pos-right-hip-roll,tgt_pos-right-hip-pitch,tgt_pos-right-knee,tgt_pos-right-ankle-pitch,tgt_pos-right-ankle-roll,kp-left-hip-yaw,kp-left-hip-roll,kp-left-hip-pitch,kp-left-knee,kp-left-ankle-pitch,kp-left-ankle-roll,kp-right-hip-yaw,kp-right-hip-roll,kp-right-hip-pitch,kp-right-knee,kp-right-ankle-pitch,kp-right-ankle-roll,kd-left-hip-yaw,kd-left-hip-roll,kd-left-hip-pitch,kd-left-knee,kd-left-ankle-pitch,kd-left-ankle-roll,kd-right-hip-yaw,kd-right-hip-roll,kd-right-hip-pitch,kd-right-knee,kd-right-ankle-pitch,kd-right-ankle-roll,pelvis_quat-0,pelvis_quat-1,pelvis_quat-2,pelvis_quat-3,pelvis_ang_v-0,pelvis_ang_v-1,pelvis_ang_v-2,pelvis_lin_v-0,pelvis_lin_v-1,pelvis_lin_v-2,projected_gravity-0,projected_gravity-1,projected_gravity-2,commands_linear-0,commands_linear-1,commands_angular-0,delta_dof-0,delta_dof-1,delta_dof-2,delta_dof-3,delta_dof-4,delta_dof-5,delta_dof-6,delta_dof-7,delta_dof-8,delta_dof-9,delta_dof-10,delta_dof-11,delta_dof-12,delta_dof-13,delta_dof-14,dof_vel-0,dof_vel-1,dof_vel-2,dof_vel-3,dof_vel-4,dof_vel-5,dof_vel-6,dof_vel-7,dof_vel-8,dof_vel-9,dof_vel-10,dof_vel-11,dof_vel-12,dof_vel-13,dof_vel-14,temporal_encoding-0,temporal_encoding-1
1852,-0.37990052,-0.19319597,0.4478647,-0.30135942,-0.6095101,0.3207995,-0.19998696,0.16509151,0.5199759,0.8922405,0.59602404,-0.18541428,5.022466,5.3883305,0.20002115,0.22258985,0.22052598,3.0651507,5.022466,5.3883305,0.20002115,0.22258985,0.22052598,3.0651507,0.44957834,0.11099051,0.07783751,0.073430754,0.07773224,0.83296096,0.44957834,0.11099051,0.07783751,0.073430754,0.07773224,0.83296096,0.04010525718331337,0.026799382641911507,-0.359925776720047,0.9317331910133362,-0.4899539053440094,-0.2095249742269516,-0.09821110218763351,0.37330684065818787,0.08371003717184067,-0.16737085580825806,0.07880456447601318,-0.055446571111679076,-0.9953014373779296,0.45000001788139343,0.0,0.3665837347507477,-0.25593146681785583,-0.22935457527637482,-0.12463763356208801,-0.3200330138206482,-0.6099907159805298,-0.174194797873497,-0.2898905277252197,0.1815730184316635,0.0982578694820404,-0.04723423719406128,0.26405438780784607,-0.0968894511461258,0.010068909265100956,0.004761409480124712,0.003695936407893896,-0.0008469822350889444,0.00027263883384875953,0.002844981150701642,4.3059797286987305,4.165419341006782e-06,0.7600847482681274,-0.003890814259648323,0.6542515158653259,0.5664661526679993,0.5022990703582764,1.7359213829040527,-0.3830367624759674,0.007681967690587044,0.01366389635950327,-5.321239586919546e-05,-0.3273906409740448,0.9448890686035156
1853,-0.3799083,-0.18982464,-0.4011898,-0.4109571,-0.6036879,0.33808306,-0.19999152,0.1643368,0.5198772,0.66464204,0.6089643,-0.18294391,5.0254474,5.3692126,0.2000078,0.21709275,0.20683682,3.047624,5.0254474,5.3692126,0.2000078,0.21709275,0.20683682,3.047624,0.44403586,0.11351985,0.077872396,0.073159434,0.077831335,0.83296907,0.44403586,0.11351985,0.077872396,0.073159434,0.077831335,0.83296907,0.031548552215099335,0.02420828863978386,-0.3592661917209625,0.9323874711990356,-0.6217493414878845,-0.5564606785774231,0.1392669975757599,0.37578240036964417,0.09574413299560547,-0.2493763566017151,0.06781852841377259,-0.04143124222755432,-0.996915340423584,0.45000001788139343,0.0,0.3675396144390106,-0.25600090622901917,-0.22924301028251648,-0.13087967038154602,-0.21987849473953247,-0.6099812984466553,-0.15037019550800323,-0.29000166058540344,0.2004033923149109,0.11862629652023315,-0.03153073787689209,0.3145589232444763,-0.10039699822664261,0.010257145389914513,0.005020733457058668,0.0036867030430585146,0.0005963741568848491,0.00034889180096797645,-0.35763418674468994,3.7891573905944824,4.387410626804922e-06,1.0723646879196167,0.0007937478367239237,0.8177621364593506,0.9063447713851929,0.7523704767227173,2.186673641204834,0.02452666684985161,-0.000720455776900053,-0.003988923039287329,-0.00012288818834349513,-0.15264928340911865,0.9882804155349731
1854,-0.37990433,-0.17630965,-0.502272,-0.6825074,-0.58211815,0.3446798,-0.19999498,0.13427961,0.51621056,0.19465381,0.6095884,-0.16004845,5.035357,5.4486127,0.20000589,0.21616626,0.20451665,3.037335,5.035357,5.4486127,0.20000589,0.21616626,0.20451665,3.037335,0.43425617,0.11391878,0.07785765,0.073347315,0.07789925,0.8329663,0.43425617,0.11391878,0.07785765,0.073347315,0.07789925,0.8329663,0.020245857536792755,0.019030168652534485,-0.35816770792007446,0.9332436919212341,-0.7513842582702637,-0.7756202220916748,0.08068965375423431,0.3751460909843445,0.12610122561454773,-0.2913064956665039,0.05002185106277466,-0.02415716350078583,-0.9984461784362793,0.45000001788139343,0.0,0.3670809864997864,-0.25610145926475525,-0.22920146584510803,-0.1433826982975006,-0.13562852144241333,-0.6099137663841248,-0.11919183284044266,-0.28999951481819153,0.2236950695514679,0.14684194326400757,-0.01477360725402832,0.373100221157074,-0.09875284880399704,0.010575410909950733,0.0050622583366930485,0.0036914392840117216,0.0006679262733086944,0.0003046843921765685,-0.5386648774147034,3.082697629928589,6.968497473280877e-06,1.3340299129486084,0.0011993821244686842,1.0107616186141968,1.2245408296585083,0.6393548250198364,2.4370596408843994,-0.14437104761600494,0.018514053896069527,-0.004313941113650799,0.00020143718575127423,0.0,1.0
1855,-0.3798559,-0.10825184,-0.51163995,-0.29304636,-0.53482956,0.3454422,-0.19999576,0.047955215,0.39478326,0.25241977,0.6079916,-0.1843131,5.055448,5.546819,0.20000911,0.2144326,0.2070663,3.026133,5.055448,5.546819,0.20000911,0.2144326,0.2070663,3.026133,0.4034883,0.11083038,0.077810146,0.073253326,0.077908695,0.83294845,0.4034883,0.11083038,0.077810146,0.073253326,0.077908695,0.83294845,0.00741239171475172,0.012291444465517998,-0.35800793766975403,0.9336082339286804,-0.7275254130363464,-0.8789252638816833,-0.12341652810573578,0.38212764263153076,0.14979849755764008,-0.31692075729370117,0.028256726264953614,-0.0050420742481946945,-0.9995180130004883,0.45000001788139343,0.0,0.3661501109600067,-0.2562214732170105,-0.22890666127204895,-0.16259166598320007,-0.058973491191864014,-0.6088569164276123,-0.08378306776285172,-0.29003775119781494,0.24970830976963043,0.18033954501152039,0.0012896060943603516,0.4353845417499542,-0.10284977406263351,0.010899930261075497,0.005018267780542374,0.0036850899923592806,0.11817694455385208,0.11716707050800323,-0.9396811127662659,2.8758864402770996,0.04957372322678566,1.4333367347717285,-0.02181990072131157,0.9609953165054321,1.332284927368164,0.6548194289207458,2.4663095474243164,0.1286383867263794,-0.021087486296892166,-0.020422957837581635,0.0035785131622105837,0.17931710183620453,0.9837913513183594
1856,-0.37974486,0.09959316,-0.4970081,-0.19986427,-0.5142249,0.3459241,-0.19999424,-0.14330107,-0.7298629,0.1859743,0.33029592,-0.16962475,5.102678,5.9043565,0.20002973,0.2124672,0.23677886,3.022626,5.102678,5.9043565,0.20002973,0.2124672,0.23677886,3.022626,0.3520568,0.10679126,0.077605866,0.07361364,0.077878885,0.83287764,0.3520568,0.10679126,0.077605866,0.07361364,0.077878885,0.83287764,0.00010641274275258183,0.007667092606425285,-0.36574673652648926,0.9306827783584595,-0.42302170395851135,-0.37950876355171204,-0.25763559341430664,0.3920915424823761,0.17155978083610535,-0.26708799600601196,0.01434909701347351,0.005409985780715942,-0.9998646736145019,0.45000001788139343,0.0,0.36613741517066956,-0.24542823433876038,-0.2106294184923172,-0.1881953775882721,-0.00946199893951416,-0.6078142523765564,-0.04906230792403221,-0.29005157947540283,0.26186996698379517,0.2039329707622528,0.018806159496307373,0.4857045114040375,-0.09207358211278915,0.008600790053606033,0.0021573775447905064,0.003679703688248992,0.1663295328617096,0.733295738697052,-0.8902260661125183,2.0678982734680176,0.06727518886327744,1.3878254890441895,-0.0024646054953336716,0.4648890197277069,0.6972842812538147,0.7456257939338684,1.845677137374878,0.047159090638160706,-0.010213106870651245,-0.12186318635940552,-0.003164219204336405,0.3528212308883667,0.9356907606124878
1857,-0.37954453,0.24077255,-0.38978982,-0.27627754,-0.48930243,0.34617183,-0.19997653,-0.29789865,-0.11093378,0.15632743,-0.60916096,-0.06651729,5.149127,7.0098143,0.20016587,0.20752335,1.0410123,3.0371814,5.149127,7.0098143,0.20016587,0.20752335,1.0410123,3.0371814,0.29529193,0.10404198,0.076677695,0.073935516,0.077630274,0.83264744,0.29529193,0.10404198,0.076677695,0.073935516,0.077630274,0.83264744,-0.005950589664280415,0.004269447177648544,-0.367950975894928,0.9298162460327148,-0.36778658628463745,-0.41478779911994934,-0.4963202476501465,0.4015882909297943,0.19414585828781128,0.03454567492008209,0.0035609211772680283,0.014207538962364197,-0.999869441986084,0.45000001788139343,0.0,0.3744659721851349,-0.24797502160072327,-0.20027963817119598,-0.21687009930610657,0.00855255126953125,-0.6095089912414551,-0.00837467797100544,-0.2898014485836029,0.27180981636047363,0.21986588835716248,0.03382140398025513,0.4710657596588135,-0.0983416959643364,0.007867930456995964,0.00024196540471166372,0.003641154384240508,-0.15892882645130157,0.36025598645210266,-1.2621595859527588,0.5368331074714661,0.11205209046602249,1.6330361366271973,0.012380814179778099,0.37867480516433716,0.4201352894306183,0.6562486886978149,-1.9281258583068848,-0.4273519814014435,0.012204863131046295,-0.03474673628807068,0.0041942899115383625,0.514887809753418,0.8572575449943542
